scenario,crim_pos,crim_strat,crim_bounded_rat,crim_bound_rat_time,crim_loose_goal,police_undercover,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
306,centre,random,TRUE,5,TRUE,TRUE,10,largest,station_exit,main,3,5
307,centre,random,TRUE,5,TRUE,TRUE,10,largest,station_exit,main,5,5
308,centre,random,TRUE,5,TRUE,TRUE,10,largest,station_exit,main,10,5
309,centre,random,TRUE,5,TRUE,TRUE,10,largest,station_exit,side,3,5
310,centre,random,TRUE,5,TRUE,TRUE,10,largest,station_exit,side,5,5
311,centre,random,TRUE,5,TRUE,TRUE,10,largest,station_exit,side,10,5
312,centre,random,TRUE,5,TRUE,TRUE,10,surround,metro_platform,main,3,5
313,centre,random,TRUE,5,TRUE,TRUE,10,surround,metro_platform,main,5,5
314,centre,random,TRUE,5,TRUE,TRUE,10,surround,metro_platform,main,10,5
315,centre,random,TRUE,5,TRUE,TRUE,10,surround,metro_platform,side,3,5
316,centre,random,TRUE,5,TRUE,TRUE,10,surround,metro_platform,side,5,5
317,centre,random,TRUE,5,TRUE,TRUE,10,surround,metro_platform,side,10,5
318,centre,random,TRUE,5,TRUE,TRUE,10,surround,station_exit,main,3,5
319,centre,random,TRUE,5,TRUE,TRUE,10,surround,station_exit,main,5,5
320,centre,random,TRUE,5,TRUE,TRUE,10,surround,station_exit,main,10,5
321,centre,random,TRUE,5,TRUE,TRUE,10,surround,station_exit,side,3,5
322,centre,random,TRUE,5,TRUE,TRUE,10,surround,station_exit,side,5,5
323,centre,random,TRUE,5,TRUE,TRUE,10,surround,station_exit,side,10,5
324,centre,random,TRUE,5,TRUE,FALSE,10,furthest,metro_platform,main,3,5
325,centre,random,TRUE,5,TRUE,FALSE,10,furthest,metro_platform,main,5,5
326,centre,random,TRUE,5,TRUE,FALSE,10,furthest,metro_platform,main,10,5
327,centre,random,TRUE,5,TRUE,FALSE,10,furthest,metro_platform,side,3,5
328,centre,random,TRUE,5,TRUE,FALSE,10,furthest,metro_platform,side,5,5
329,centre,random,TRUE,5,TRUE,FALSE,10,furthest,metro_platform,side,10,5
330,centre,random,TRUE,5,TRUE,FALSE,10,furthest,station_exit,main,3,5
