scenario,crim_pos,crim_strat,crim_bounded_rat,police_undercover,crim_max_diverge,pol_strat,pol_guarding,Police_entrance,units,P_multiple_at_station
255,centre,to_train,False,False,10,furthest,metro_platform,side,3,5
256,centre,to_train,False,False,10,furthest,metro_platform,side,5,5
257,centre,to_train,False,False,10,furthest,metro_platform,side,10,5
258,centre,to_train,False,False,10,furthest,station_exit,main,3,5
259,centre,to_train,False,False,10,furthest,station_exit,main,5,5
260,centre,to_train,False,False,10,furthest,station_exit,main,10,5
261,centre,to_train,False,False,10,furthest,station_exit,side,3,5
262,centre,to_train,False,False,10,furthest,station_exit,side,5,5
263,centre,to_train,False,False,10,furthest,station_exit,side,10,5
264,centre,to_train,False,False,10,largest,metro_platform,main,3,5
265,centre,to_train,False,False,10,largest,metro_platform,main,5,5
266,centre,to_train,False,False,10,largest,metro_platform,main,10,5
267,centre,to_train,False,False,10,largest,metro_platform,side,3,5
268,centre,to_train,False,False,10,largest,metro_platform,side,5,5
269,centre,to_train,False,False,10,largest,metro_platform,side,10,5
270,centre,to_train,False,False,10,largest,station_exit,main,3,5
271,centre,to_train,False,False,10,largest,station_exit,main,5,5
272,centre,to_train,False,False,10,largest,station_exit,main,10,5
273,centre,to_train,False,False,10,largest,station_exit,side,3,5
274,centre,to_train,False,False,10,largest,station_exit,side,5,5
275,centre,to_train,False,False,10,largest,station_exit,side,10,5
276,centre,to_train,False,False,10,surround,metro_platform,main,3,5
277,centre,to_train,False,False,10,surround,metro_platform,main,5,5
278,centre,to_train,False,False,10,surround,metro_platform,main,10,5
279,centre,to_train,False,False,10,surround,metro_platform,side,3,5
280,centre,to_train,False,False,10,surround,metro_platform,side,5,5
281,centre,to_train,False,False,10,surround,metro_platform,side,10,5
282,centre,to_train,False,False,10,surround,station_exit,main,3,5
283,centre,to_train,False,False,10,surround,station_exit,main,5,5
284,centre,to_train,False,False,10,surround,station_exit,main,10,5
285,centre,to_train,False,False,10,surround,station_exit,side,3,5
286,centre,to_train,False,False,10,surround,station_exit,side,5,5
287,centre,to_train,False,False,10,surround,station_exit,side,10,5
288,centre,furthest,True,True,10,furthest,metro_platform,main,3,5
289,centre,furthest,True,True,10,furthest,metro_platform,main,5,5
290,centre,furthest,True,True,10,furthest,metro_platform,main,10,5
291,centre,furthest,True,True,10,furthest,metro_platform,side,3,5
292,centre,furthest,True,True,10,furthest,metro_platform,side,5,5
293,centre,furthest,True,True,10,furthest,metro_platform,side,10,5
294,centre,furthest,True,True,10,furthest,station_exit,main,3,5
295,centre,furthest,True,True,10,furthest,station_exit,main,5,5
296,centre,furthest,True,True,10,furthest,station_exit,main,10,5
297,centre,furthest,True,True,10,furthest,station_exit,side,3,5
298,centre,furthest,True,True,10,furthest,station_exit,side,5,5
299,centre,furthest,True,True,10,furthest,station_exit,side,10,5
300,centre,furthest,True,True,10,largest,metro_platform,main,3,5
301,centre,furthest,True,True,10,largest,metro_platform,main,5,5
302,centre,furthest,True,True,10,largest,metro_platform,main,10,5
303,centre,furthest,True,True,10,largest,metro_platform,side,3,5
304,centre,furthest,True,True,10,largest,metro_platform,side,5,5
305,centre,furthest,True,True,10,largest,metro_platform,side,10,5
306,centre,furthest,True,True,10,largest,station_exit,main,3,5
307,centre,furthest,True,True,10,largest,station_exit,main,5,5
308,centre,furthest,True,True,10,largest,station_exit,main,10,5
309,centre,furthest,True,True,10,largest,station_exit,side,3,5
310,centre,furthest,True,True,10,largest,station_exit,side,5,5
311,centre,furthest,True,True,10,largest,station_exit,side,10,5
312,centre,furthest,True,True,10,surround,metro_platform,main,3,5
313,centre,furthest,True,True,10,surround,metro_platform,main,5,5
314,centre,furthest,True,True,10,surround,metro_platform,main,10,5
315,centre,furthest,True,True,10,surround,metro_platform,side,3,5
316,centre,furthest,True,True,10,surround,metro_platform,side,5,5
317,centre,furthest,True,True,10,surround,metro_platform,side,10,5
318,centre,furthest,True,True,10,surround,station_exit,main,3,5
319,centre,furthest,True,True,10,surround,station_exit,main,5,5
320,centre,furthest,True,True,10,surround,station_exit,main,10,5
321,centre,furthest,True,True,10,surround,station_exit,side,3,5
322,centre,furthest,True,True,10,surround,station_exit,side,5,5
323,centre,furthest,True,True,10,surround,station_exit,side,10,5
324,centre,furthest,True,False,10,furthest,metro_platform,main,3,5
325,centre,furthest,True,False,10,furthest,metro_platform,main,5,5
